Mahesh Kaushik Stock Market Data Bank  Updated Till Sept 2024,,,,,,,,,,,,,,,,,,,,,,
BSE Code,Company Name          ,Sector,Face Value,Total Equity Capital,Total Share Cr.,Book Value,Sales in Cr.,Net Sale Par Share,Net Profit Cr.,EPS,Dividend Rupees,D/E ratio,RONW %,Promoters %,Pledged %,Institutional %,Market Cap,Price ,52 Week High,52 Week Low,52 Week High/ Low Ratio,Entprise Value
543534,Aether Industries Ltd.,Chemicals,10,132.55,13.26,158.02,598.17,45.13,82.49,6.65,0,0.06,5.33,81.79,0,14.46,12919.72,975,1066.3,775,1.38,12493.3
538351,AF Enterprises Ltd.,Finance - Investment,10,14.11,1.41,15.52,8.5,6.02,-0.35,0.17,0,0.2,5.29,5.72,0,0,49.61,14.01,19.34,4.3,4.50,53.32
542752,Affle (India) Ltd.,BPO/ITeS,2,28.02,14.01,124.32,1842.81,131.54,297.26,5.42,0,0,5.81,55.14,0,31.5,21806.51,1525.95,1715,990,1.73,21147.24
530765,Agarwal Fortune India Ltd.,Finance - NBFC,10,3.44,0.34,1.32,7.38,21.45,0.1,0.28,0,0.31,18.75,49.32,0,0,6.53,19,44.65,17,2.63,6.61
531921,Agarwal Industrial Corporation Ltd.,Petrochemicals,10,14.96,1.50,238.72,2125.3,1420.66,109.22,33.15,3,0.38,15.47,57.2,0,6.45,1766.59,1136.5,1339,770.95,1.74,1851.06
500187,AGI Greenpac Ltd.,Packaging,2,12.94,6.47,290.25,2712.37,419.22,70.02,38.85,6,0.34,14.69,60.24,0,8.36,5648.08,882.3,1088,609.8,1.78,5903.06
539042,AGI Infra Ltd.,Construction - Real Estate,10,12.22,1.22,195.72,292.33,239.22,52.1,42.64,0,0.61,26.23,72.94,0,0,1206.34,1085,1125,560,2.01,1243.72
516020,Agio Paper & Industries Ltd.,Paper & Paper Products,10,16.13,1.61,1.49,0.3,0.19,-1.08,-0.67,0,3.23,-31.52,63.56,0,0.04,10.55,6.86,7.74,3.26,2.37,24.13
537292,Agri-Tech (India) Ltd.,Agriculture,10,5.94,0.59,169.34,0.19,0.32,-3.21,16.4,0,0,10.11,31.1,0,0.04,137.21,226.75,307,150.05,2.05,136.58
500215,Agro Tech Foods Ltd.,Edible Oil,10,24.37,2.44,204.88,759.67,311.72,10.41,3.96,3,0.11,3.22,51.77,0,8.63,2024.84,800.2,1089,646.9,1.68,2048.65
543451,AGS Transact Technologies Ltd.,Business Support,10,121.03,12.10,41.25,1470.63,121.51,-80.09,-5.53,0,1.36,-12.83,65.53,5.89,4.61,1325.03,105.6,126.7,57.9,2.19,1914.5
532811,Ahluwalia Contracts (India) Ltd.,Construction - Real Estate,2,13.4,6.70,243.74,3855.3,575.42,375.5,56.06,0.5,0.03,26.52,55.32,0,38.56,8011.04,1160.4,1540,649.4,2.37,7275.71
522273,Ahmedabad Steelcraft Ltd.,Steel & Iron Products,10,4.09,0.41,56.47,0.77,1.88,-2.29,-5.59,0,0,-2.61,67.89,0,0,99.66,248.4,243.55,22.25,10.95,94.78
532806,AI Champdany Industries Ltd.,Textile - Weaving,5,15.38,3.08,2.94,44.27,14.39,-39.57,-12.83,0,0.5,28.6,58.9,0,8.69,143.47,45.14,70.5,36.77,1.92,184.37
532683,AIA Engineering Ltd.,Castings/Forgings,2,18.86,9.43,664.65,4853.76,514.71,1135.48,119.75,16,0.07,18.94,58.47,0,38.63,40174.89,4248.85,4940,3344.7,1.48,40207.37
524288,Aimco Pesticides Ltd.,Pesticides & Agrochemicals,10,9.58,0.96,34.85,207.41,216.50,-10.05,-10.22,0,0.27,-4.2,53.5,0,0.03,94.77,98,145,89,1.63,109.42
531439,AION-Tech Solutions Ltd.,IT - Software,10,34.58,3.46,17.48,93.28,26.98,-2.18,0.68,0,0,4.71,53.89,0,0.01,378.5,104.25,171.65,83.55,2.05,362.03
543811,Airan Ltd.,IT - Software,2,25,12.50,10.89,105.5,8.44,12.89,0.91,0,0.02,9.37,72.37,0,0,500.58,39,48.85,20.53,2.38,497.07
532331,Ajanta Pharma Ltd.,Pharmaceuticals & Drugs,2,25.27,12.64,291.7,4208.71,333.10,816.17,63.89,0,0,24.26,66.27,7.66,25.78,39011.92,3219.8,3485.75,1665,2.09,38948.86
519216,Ajanta Soya Ltd.,Edible Oil,2,16.1,8.05,16.78,1022.16,126.98,4.03,0.5,0,0.01,1.8,47.31,0,0,369.58,45.25,51,25.65,1.99,339.33
511692,Ajcon Global Services Ltd.,Finance - Investment,10,6.12,0.61,30.79,15.99,26.13,1.3,1.7,0,0.1,5.79,66.25,0,0.85,25.21,38.84,54,25.25,2.14,25.56
530713,Ajel Ltd.,IT - Software,10,11.65,1.17,11.53,8.13,6.98,0.81,0.06,0,0.19,0.45,50.05,0,0,19.34,16.04,28.59,12.01,2.38,22.34
513349,Ajmera Realty & Infra India Ltd.,Construction - Real Estate,10,35.48,3.55,226.1,699.96,197.28,103.92,24.05,4,0.92,11.51,74.2,5.5,2.3,2396.12,677.9,882.4,336,2.63,3050.9
532959,AJR Infra and Tolling Ltd.,Engineering - Construction,2,189.18,94.59,-10.46,61.23,0.65,-237.14,-2.55,0,-0.14,0,10.72,0,27.26,64.04,0.68,0.71,0.63,1.13,171.67
526628,Ajwa Fun World & Resort Ltd.,"Hotel, Resort & Restaurants",10,6.39,0.64,-1.17,2.61,4.08,0.11,0.17,0,-1.74,0,49.54,0,0.02,17.17,26.87,40.3,18.33,2.20,22.49
530499,AK Capital Services Ltd.,Finance - Investment,10,6.6,0.66,750.61,518.54,785.67,92.52,48.18,16,1.08,6.77,71.5,0,0,708.48,1072.45,1180,661.2,1.78,1385.49
539300,AK Spintex Ltd.,Textile - Manmade  Fibres,10,5.03,0.50,78.42,117.24,233.08,8.45,16.79,0,0.33,27.26,70.76,0,0,117.99,234.1,264.65,106.6,2.48,125.1
530621,Akar Auto Industries Ltd.,Auto Ancillary,5,5.39,1.08,42.65,373.82,346.77,5.49,5.09,0,1.64,19.1,73.06,2.65,0,121.69,112,169.7,83.8,2.03,196.41
542020,AKI India Ltd.,Leather,2,17.15,8.58,5.91,70.91,8.27,1.36,0.16,0,1.98,7.42,54.24,0,3.39,177.77,21.08,32.44,10.55,3.07,194.13
544200,Akme Fintrade (India) Ltd.,Finance - NBFC,10,31.68,3.17,85.26,73.5,23.20,18.53,5.85,0,0.87,9.25,41.57,0,8.92,505.49,114.5,134.7,93.05,1.45,689.78
532351,Aksh Optifibre Ltd.,Cable,5,81.35,16.27,5.38,220.28,13.54,-71.31,-12.88,0,0.72,-107.25,25.89,0,0,135.53,8.3,15.85,7.84,2.02,179.94
541303,Akshar Spintex Ltd.,Textile,1,30,30.00,1.18,174.95,5.83,3.45,0.12,0,0.43,-6.59,11.62,0,0,133.08,1.63,7.94,1.59,4.99,152.05
524598,Aksharchem (India) Ltd.,Dyes & Pigments,10,8.03,0.80,324.08,187.83,233.91,16.64,-23.25,0.5,0.09,-0.34,62.7,0,0.45,273.41,335.75,376,235.4,1.60,322.63
500710,Akzo Nobel India Ltd.,Paints,10,45.5,4.55,316.78,3961.6,870.68,426.6,93.78,75,0,32.3,74.76,0,11.9,17070.1,3733.7,3960,2265.1,1.75,16546.9
539115,Alan Scott Enterprises Ltd.,Textile,10,3.37,0.34,16.97,11.9,35.31,-3.5,-2.86,0,0.27,-39.98,61.79,0,0.37,45.86,126.5,141,57,2.47,45.5
531082,Alankit Ltd.,Finance - Stock Broking,1,27.12,27.12,11.4,235.7,8.69,21.98,0.57,0,0.08,6.17,54.15,0,0.61,665.69,26.06,29.67,9.7,3.06,685.56
524075,Albert David Ltd.,Pharmaceuticals & Drugs,10,5.71,0.57,704.07,362.46,634.78,75.42,132.15,11.5,0.01,21.72,62.13,0,2.47,835.39,1440,1752.95,733.45,2.39,806.95
531409,Alchemist Corporation Ltd.,Trading,10,4.91,0.49,2.33,0,0.00,0.06,0.14,0,0.06,-20.64,74.11,0,0,6.85,13.93,19.43,10.7,1.82,7.43
506235,Alembic Ltd.,Pharmaceuticals & Drugs,2,51.36,25.68,32.15,157.49,6.13,92.87,3.62,2.4,0.01,11.34,70.88,0,1.46,3691.24,139.75,169,74.54,2.27,3698.2
533573,Alembic Pharmaceuticals Ltd.,Pharmaceuticals & Drugs,2,39.31,19.66,258.7,6228.63,316.90,616.8,33.91,11,0.09,14.3,69.61,0,19.79,23366.44,1146.5,1277,707.5,1.80,23759.99
511463,Alexander Stamps And Coin Ltd.,Finance - Investment,10,9.31,0.93,18.08,0.36,0.39,-0.1,-0.11,0,0,-0.1,0.19,0,0,16.83,17.95,22.75,12.79,1.78,16.83
